,Date,Close,Volume,Open,High,Low,MACD,RSI,ROC,CCI,MassIndex,%K,%D,5 day,10 day,20 day
751,2011/09/07,6.76,18692450.0,6.5,6.76,6.44,-0.024770436556427633,9.945294776273045,11.735537190082644,67.88495049180939,24.985788244476964,86.15384615384612,62.307692307691944,6.656804733727814,-4.142011834319518,-28.55029585798816
752,2011/09/08,6.81,32012830.0,6.72,6.96,6.63,0.00022881270851549118,9.593836974274367,4.769230769230763,91.04707538057407,24.82020155687254,87.99999999999997,74.20512820512782,7.709251101321592,-10.132158590308363,-28.781204111600587
753,2011/09/09,6.52,17494200.0,6.69,6.82,6.48,-0.0033213915734640054,8.97003220944866,2.839116719242898,43.3087744194313,24.622083888506886,58.99729754915663,77.71704790100054,10.429447852760747,-5.368098159509197,-27.453987730061343
754,2011/09/12,6.71,20403700.0,6.4,6.75,6.4,0.009091655118130149,9.508178132902785,5.337519623233907,42.17522188176854,24.407835620770157,76.70300997111174,74.56676917342241,3.129657228017883,-4.61997019374068,-27.868852459016395
755,2011/09/13,6.96,19041980.0,6.77,7.0,6.66,0.038656387937834324,10.348010900459329,7.241910631741136,88.52113056481738,24.295066206668825,95.72192513368984,77.1407442179857,-3.160919540229881,-6.752873563218387,-30.17241379310344
756,2011/09/14,7.21,23742630.0,7.02,7.26,6.98,0.08132213145255651,11.114016741099391,5.5636896046852105,124.9062718190327,24.19566511704859,95.81589958158997,89.41361156213013,-10.124826629680992,-14.701803051317608,-31.622746185852986
757,2011/09/15,7.335,23775030.0,7.3,7.44,7.25,0.12379447031505819,11.113809202399935,7.236842105263159,134.96609075582302,23.982806552334296,92.36363636363633,94.63382035963832,-16.56441717791411,-27.60736196319019,-32.24267211997274
758,2011/09/16,7.2,19879340.0,7.38,7.42,7.13,0.1448905253177024,10.402545621699105,5.417276720351392,110.60293307743542,23.84125182529352,82.54545454545453,90.2416634968932,-14.305555555555557,-29.444444444444446,-31.66666666666667
759,2011/09/19,6.92,36453120.0,6.96,7.14,6.85,0.13743141712526885,9.731817848111348,3.5928143712574885,56.38091103068665,23.80925385992836,62.18181818181815,79.03030303030259,-7.514450867052017,-34.53757225433526,-32.51445086705203
760,2011/09/20,6.74,17314720.0,6.96,6.99,6.73,0.1156622421354685,9.099944431557574,6.645569620253163,22.024161665666593,23.836258051460604,49.09090909090908,64.60606060606017,-3.7091988130563793,-29.970326409495556,-28.338278931750743
761,2011/09/21,6.48,20039680.0,6.8,6.85,6.48,0.07654779173450876,8.50523207161001,3.3492822966507316,-28.658582975160012,23.954615093356225,30.181818181818183,47.15151515151472,-5.0925925925925934,-25.462962962962965,-27.00617283950617
762,2011/09/22,6.12,44630770.0,6.24,6.3,5.9,0.01631227883649622,7.945988693550021,-9.46745562130177,-128.37088940323295,24.083707702136575,14.285714285714269,31.18614718614676,-13.235294117647067,-20.751633986928113,-25.816993464052292
763,2011/09/23,6.17,21920640.0,6.01,6.23,5.95,-0.027078077751250262,7.725631693479386,-9.39794419970631,-114.52394593456984,24.180100041005847,17.532467532467503,20.666666666666234,-17.66612641815235,-23.33873581847649,-23.50081037277148
764,2011/09/26,6.4,27756900.0,6.37,6.43,6.11,-0.04241721094391604,8.606758699473588,-1.8404907975460003,-73.61907747483949,24.248902387380117,32.467532467532465,21.428571428570994,-29.21875,-24.375000000000007,-20.93750000000001
765,2011/09/27,6.49,26930580.0,6.57,6.76,6.44,-0.04677217614108731,8.581855941088776,-3.27868852459016,-23.890723173846492,24.362253833347776,38.3116883116883,29.437229437229007,-27.272727272727277,-25.115562403697993,-24.345146379044685
766,2011/09/28,6.15,28898250.0,6.51,6.57,6.15,-0.07677367678113889,8.0180158430815,-11.637931034482753,-69.18763812548315,24.37930737297308,16.233766233766232,29.004329004328582,-21.463414634146343,-19.83739837398375,-17.154471544715456
767,2011/09/29,5.31,67915980.0,5.49,5.65,5.11,-0.16641275931358823,7.488186423848788,-26.352288488210824,-178.84457961255342,24.50656166269068,8.583690987124433,21.043048510859236,-8.662900188323917,-6.403013182674197,4.331450094161967
768,2011/09/30,5.08,29669660.0,5.23,5.3,5.07,-0.2530939463767483,6.990707192640329,-30.743012951601905,-162.2378446581594,24.521490589361996,0.42194092827003316,8.41313271638648,-6.889763779527552,-3.1496062992126013,16.929133858267722
769,2011/10/03,4.53,39476870.0,5.03,5.03,4.52,-0.36199693970114044,6.523947397448694,-37.08333333333333,-167.2498612499867,24.610799653782617,0.34246575342468055,3.11603255627263,6.843267108167761,3.0905077262693084,28.697571743929355
770,2011/10/04,4.72,37434280.0,4.42,4.72,4.31,-0.4280377813119767,7.26821946375108,-31.79190751445087,-146.013388477364,24.746744888399665,13.099041533546327,4.621149405079928,2.9661016949152663,2.3305084745762783,12.28813559322034
771,2011/10/05,4.83,28839940.0,4.65,4.9,4.52,-0.4661263292257427,7.462038663529825,-28.338278931750743,-114.20859084754913,24.903915724558555,16.720257234726702,10.053921507232152,2.0703933747411933,-2.0703933747411933,13.043478260869563
772,2011/10/06,4.85,19191110.0,4.91,4.91,4.7,-0.48906036158865707,7.089648703747983,-25.154320987654334,-96.3503767816772,25.019011553253346,19.081272084805654,16.300190284359143,2.4742268041237137,-6.39175257731958,18.144329896907234
